agent,input_tokens,output_tokens,cost_usd,duration_ms,status
pooya,1240,820,0.0124,4200,success
pooya,1390,910,0.0142,4800,success
roya,890,540,0.0083,2900,success
roya,920,580,0.0089,3100,success
shahed,420,210,0.0021,1100,success
shahed,440,200,0.0022,1050,success
dadbeh,380,180,0.0019,950,success
dadbeh,360,170,0.0018,920,success
nasim,520,260,0.0027,1300,success
sepehr,2100,2400,0.0395,12500,success
sepehr,2200,2500,0.0410,13200,success
goyesh,1800,1900,0.0312,9800,success
goyesh,1850,1950,0.0319,10100,success
avang,1600,2200,0.0287,8800,success
ramin,720,440,0.0070,2400,success
mehrban,950,560,0.0091,3000,success
mehrban,980,610,0.0098,3200,success
rahbar,640,430,0.0064,2200,success
bineh,310,180,0.0017,820,success
bineh,290,170,0.0016,790,success
ravi,1500,1850,0.0258,7900,success
zirak,1100,720,0.0114,4100,success
paya,420,290,0.0027,1300,success
kherad,2300,2600,0.0438,14000,success
bidar,1800,2100,0.0307,9500,success
davari,540,310,0.0032,1500,success
rahnama,820,520,0.0079,2700,success
payvand,1100,890,0.0123,4400,success
mehmandar,640,440,0.0064,2300,fail
